"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IQCC",70.5050001677335,-0.666101793829323,0.224737319562229,-2.96391269205684,0.00303754455096566,0.00818230050118865
"EIF3I",1884.97698347634,-0.195975360295687,0.0813420111493453,-2.40927606198319,0.0159842021448476,0.0365269219949656
"MTMR9LP",47.2334080891197,-1.04301294029229,0.276214202657082,-3.77610177267817,0.000159301922698643,0.000539417502621617
"LCK",8.27449123267191,2.43075959278177,0.6985953905574,3.47949560738197,0.000502358604631288,0.00156463954615631
"MARCKSL1",590.379062110752,-0.842330768442451,0.0992551708961002,-8.4865177384481,2.12921174828749e-17,2.53103726358106e-16
"ZBTB8B",48.1536693240421,-0.830511233260028,0.274289409425975,-3.02786474694046,0.00246288291978842,0.00674933289195667
"ZBTB8OS",213.532006450176,-0.523698909857237,0.132707557770608,-3.94626288551311,7.93804567534263e-05,0.000282598816901125
"RBBP4",2242.42444297348,-1.00166687104587,0.0695181839241107,-14.408703083201,4.56196433231238e-47,1.85998097811316e-45
"KIAA1522",951.810763459568,0.260967599385294,0.0798251366776185,3.26924087132148,0.00107836459738757,0.00316604894257437
"YARS1",1202.67727067929,-0.466813493093575,0.0823940941384811,-5.66561836712464,1.46495253521524e-08,8.41297311571508e-08
"RNF19B",540.012394412425,1.31802251577883,0.0937354632170714,14.0610871333357,6.58665444817202e-45,2.53628418398521e-43
"AK2",2234.00515029746,-0.322112491895856,0.0629515798276284,-5.11682935961022,3.10714485367281e-07,1.53618264493931e-06
"PHC2",1672.13544490134,0.781979681200499,0.0688822205448068,11.3524168503225,7.21406322053205e-30,1.6818193182045e-28
"GJB5",93.2498179279236,1.2586496433956,0.196800614018432,6.39555750206001,1.59962628241353e-10,1.10915218296938e-09
"GJB4",54.2767657555373,1.15902856165119,0.259684614071551,4.46321614314755,8.07385350498301e-06,3.34711097339082e-05
"GJB3",1069.73707955527,2.79152182461791,0.0930681679966798,29.9943781499761,1.16182638930111e-197,4.27291293093782e-195
"GJA4",2.66778738478978,4.1836420800636,1.51452184620836,2.76235175513476,0.00573866154983956,0.014613030915594
"SMIM12",263.071852120795,-0.306274739359249,0.122955998618734,-2.49092962360426,0.0127409353974189,0.0299147201014125
"TMEM35B",69.9619170719224,-1.12449746157712,0.233774014721647,-4.81019014417001,1.50786785154891e-06,6.8308915416699e-06
"ZMYM1",664.801019547029,-0.672663050521954,0.0895893923329475,-7.50828901732125,5.99051355909617e-14,5.57043575069515e-13
"KIAA0319L",548.911313706917,-0.426441192765048,0.0936606846736731,-4.55304372641337,5.2875277524325e-06,2.24785415490885e-05
"PSMB2",1881.21168887726,-0.260921256722371,0.0770367283785291,-3.38697219124239,0.000706685505419795,0.00214144602205652
"C1orf216",172.432868156843,-1.33084041072093,0.154795151564448,-8.59742955299762,8.15213908494969e-18,9.90625073835997e-17
"CLSPN",633.43277734541,-2.06981391147069,0.102540761425335,-20.1852793240455,1.31880139967114e-90,1.2777483883588e-88
"AGO1",1356.72047085317,0.274884900630077,0.0737616338055386,3.72666502147674,0.000194030053934366,0.000648482122023592
"AGO3",1459.80122411515,0.448099716875323,0.0906023461080821,4.94578491754256,7.5837657832262e-07,3.56926203132722e-06
"ADPRS",215.199206429499,0.54335161881055,0.135765940140529,4.00212025378483,6.27773757368231e-05,0.000226943046770971
"TRAPPC3",422.932939809114,-0.3562237316578,0.107854771675729,-3.30280919539477,0.00095721495314862,0.00283996882955075
"MAP7D1",730.741625666061,0.302095430509176,0.0989329770141517,3.05353623863925,0.00226161404597131,0.00624334355429673
"SH3D21",103.405905569993,1.39977690562385,0.193622131423685,7.22942617835795,4.85039077203505e-13,4.20437191451869e-12
"EVA1B",81.0523219784313,0.6274275301376,0.210385881656745,2.98227012761854,0.00286119423798911,0.00775540513583802
"STK40",401.204991217579,1.06448095003355,0.105568292628533,10.0833396423221,6.54625195812355e-24,1.13651258706498e-22
"MRPS15",465.058355608979,-0.294251040042904,0.105453929970406,-2.79032787232756,0.00526546896009164,0.0135167954596877
"ZC3H12A",181.053679767145,0.98269500977169,0.148779439920684,6.60504576637453,3.97394557991183e-11,2.91589874982049e-10
